Resumen,Clave de incidencia,ID de la incidencia,Tipo de Incidencia,Estado,Clave del proyecto,Nombre del proyecto,Tipo de proyecto,Responsable del proyecto,ID del responsable del proyecto,Descripción del proyecto,Prioridad,Resolución,Persona asignada,ID de la persona asignada,Informador,ID del informador,Creador,ID del creador,Creada,Actualizada,Vista por Última Vez,Resuelta,Fecha de vencimiento,Votos,Descripción,Entorno,Interesados,ID de los interesados,Estimación original,Trabajo restante estimado,Tiempo Trabajado,Relación de trabajo,Σ Estimación original,Σ Trabajo restante estimado,Σ Tiempo empleado,Nivel de Seguridad,Campo personalizado (Clasificación),Campo personalizado (Color de la incidencia),Campo personalizado (Estado de verificación),Campo personalizado (Fecha de inicio),Campo personalizado (Fuente del requisito),Campo personalizado (Prioridad MoSCoW),Campo personalizado (Sesiones de agentes),Campo personalizado (Team),Campo personalizado (development),Categoría de estado,Categoría de estado cambiada,Principal,Clave principal,Parent summary
E1 — Gestión de mascotas y perfiles,KAN-1,10000,Epic,Backlog,KAN,MundiPets-PE4,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 1:28 PM,09/ago/26 1:28 PM,,,,0,"Registro, consulta, búsqueda y publicaciones de mascotas.",,,,,,,,,,,,0|hzzzzz:,dark_teal,,,,,,,,Por hacer,09/ago/26 1:28 PM,,,
E2 — Adopción y solicitudes,KAN-2,10001,Epic,Backlog,KAN,MundiPets-PE4,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 1:29 PM,09/ago/26 1:29 PM,,,,0,"Flujo completo de adopción, seguimiento y alertas",,,,,,,,,,,,0|i00007:,dark_teal,,,,,,,,Por hacer,09/ago/26 1:29 PM,,,
E3 — Historial médico y veterinaria,KAN-3,10002,Epic,Backlog,KAN,MundiPets-PE4,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 1:30 PM,09/ago/26 1:30 PM,,,,0,"Historial clínico, vacunación, validación profesional",,,,,,,,,,,,0|i0000f:,dark_teal,,,,,,,,Por hacer,09/ago/26 1:30 PM,,,
E4 — Cruza y compatibilidad,KAN-4,10003,Epic,Backlog,KAN,MundiPets-PE4,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 1:30 PM,09/ago/26 1:30 PM,,,,0,"Evaluación de compatibilidad, certificados, antecedentes genéticos",,,,,,,,,,,,0|i0000n:,dark_teal,,,,,,,,Por hacer,09/ago/26 1:30 PM,,,
"E5 — Cuenta, privacidad y comunicación",KAN-5,10004,Epic,Backlog,KAN,MundiPets-PE4,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 1:30 PM,09/ago/26 1:30 PM,,,,0,"Identidad, privacidad, mensajería, recordatorios, eliminación de cuenta",,,,,,,,,,,,0|i0000v:,dark_teal,,,,,,,,Por hacer,09/ago/26 1:30 PM,,,
Buscar y filtrar mascotas,KAN-8,10007,Historia,Desarrollo,KAN,MundiPets-PE4,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,Listo,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 1:48 PM,09/ago/26 2:44 PM,,09/ago/26 2:44 PM,,0,"RF asociado: RF-04 

Caso de uso enlazado: CU-11 — Buscar mascota disponible",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i00013:,,,,"EV-07, EV-08",Should,,,,Listo,09/ago/26 2:44 PM,10000,KAN-1,E1 — Gestión de mascotas y perfiles
Publicar aviso de mascota extraviada,KAN-12,10011,Historia,Análisis,KAN,MundiPets-PE4,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 1:57 PM,09/ago/26 2:44 PM,,,,0,"RF asociado: RF-25
Caso de uso enlazado: (sin CU asignado — requisito huérfano, reportar en matriz)",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i00017:,,,,"EV-12, EV-16",Could,,,,En curso,09/ago/26 2:44 PM,10000,KAN-1,E1 — Gestión de mascotas y perfiles
Eliminar cuenta y datos personales,KAN-31,10030,Historia,Análisis,KAN,MundiPets-PE4,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:09 PM,09/ago/26 2:44 PM,09/ago/26 2:51 PM,,,0,"RF asociado: RF-26
Caso de uso enlazado: (sin CU asignado — requisito nuevo, RFC-01)",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i00019:,,,,"RL-04, RD-06",Must,,,,En curso,09/ago/26 2:44 PM,10004,KAN-5,"E5 — Cuenta, privacidad y comunicación"
"Registrar trazabilidad de cepa, lote y aplicador",KAN-22,10021,Historia,Análisis,KAN,MundiPets-PE4,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:04 PM,09/ago/26 2:44 PM,,,,0,"RF asociado: RF-24
Caso de uso enlazado: CU-03 — Cargar documento veterinario y carnet de vacunación",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i00019:i,,,,"EV-15, EV-16",Must,,,,En curso,09/ago/26 2:44 PM,10002,KAN-3,E3 — Historial médico y veterinaria
Evaluar compatibilidad entre mascotas para cruza,KAN-23,10022,Historia,Análisis,KAN,MundiPets-PE4,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:05 PM,09/ago/26 2:44 PM,09/ago/26 2:14 PM,,,0,"RF asociado: RF-06
Caso de uso enlazado: CU-06 — Evaluar compatibilidad de cruza",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0001a:,,,,"EV-01 a EV-08, EV-11, EV-13, EV-14, EV-15, EV-16",Must,,,,En curso,09/ago/26 2:44 PM,10003,KAN-4,E4 — Cruza y compatibilidad
Consultar perfil completo de una mascota,KAN-7,10006,Historia,Análisis,KAN,MundiPets-PE4,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 1:47 PM,09/ago/26 2:43 PM,09/ago/26 2:51 PM,,,0,"RF asociado: RF-03 

Caso de uso enlazado: CU-10 — Consultar perfil médico",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0001b:,,,,"EV-02, EV-04, EV-05, EV-06, EV-07, EV-14",Must,,,,En curso,09/ago/26 2:43 PM,10000,KAN-1,E1 — Gestión de mascotas y perfiles
Registrar publicaciones de mascotas,KAN-9,10008,Historia,Aprobado,KAN,MundiPets-PE4,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 1:48 PM,09/ago/26 2:44 PM,,,,0,"RF asociado: RF-13 

Caso de uso enlazado: CU-04 — Publicar mascota en adopción",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0001f:,,,,"EV-01, EV-02, EV-04, EV-06, EV-07, EV-08",Must,,,,En curso,09/ago/26 2:43 PM,10000,KAN-1,E1 — Gestión de mascotas y perfiles
Gestionar solicitudes de adopción,KAN-13,10012,Historia,Desarrollo,KAN,MundiPets-PE4,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,Listo,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 1:59 PM,09/ago/26 2:44 PM,09/ago/26 2:50 PM,09/ago/26 2:44 PM,,0,"RF asociado: RF-05
Caso de uso enlazado: CU-04 — Publicar mascota en adopción",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0001f:i,,,,"EV-01, EV-02, EV-03, EV-05, EV-06, EV-08",Must,,,,Listo,09/ago/26 2:44 PM,10001,KAN-2,E2 — Adopción y solicitudes
Consultar historial de procesos de adopción y cruza,KAN-14,10013,Historia,Aprobado,KAN,MundiPets-PE4,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 1:59 PM,09/ago/26 2:44 PM,,,,0,"RF asociado: RF-15
Caso de uso enlazado: CU-07 — Consultar historial de procesos de adopción y cruza",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0001f:r,,,,"EV-01, EV-02, EV-04, EV-06",Could,,,,En curso,09/ago/26 2:44 PM,10001,KAN-2,E2 — Adopción y solicitudes
Registrar identificador de microchip,KAN-11,10010,Historia,Análisis,KAN,MundiPets-PE4,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 1:56 PM,09/ago/26 2:44 PM,,,,0,"RF asociado: RF-21 Prioridad

Caso de uso enlazado: CU-01 — Registrar mascota",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0001g:,,,,EV-16,Should,,,,En curso,09/ago/26 2:44 PM,10000,KAN-1,E1 — Gestión de mascotas y perfiles
Validar imágenes,KAN-10,10009,Historia,Análisis,KAN,MundiPets-PE4,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 1:55 PM,09/ago/26 2:43 PM,,,,0,"RF asociado: RF-17 

Caso de uso enlazado: CU-04 — Publicar mascota en adopción",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0001h:,,,,"EV-01, EV-03, EV-05, EV-07, EV-08",Should,,,,En curso,09/ago/26 2:43 PM,10000,KAN-1,E1 — Gestión de mascotas y perfiles
Registrar mascota,KAN-6,10005,Historia,Hecho,KAN,MundiPets-PE4,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,Listo,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 1:46 PM,09/ago/26 2:44 PM,09/ago/26 2:49 PM,09/ago/26 2:44 PM,,0,"RF asociado: RF-01 Prioridad

Caso de uso enlazado: CU-01 — Registrar mascota",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0001i:,,,," EV-02, EV-03, EV-05, EV-06, EV-07, EV-08",Must,,,,Listo,09/ago/26 2:44 PM,10000,KAN-1,E1 — Gestión de mascotas y perfiles
Gestionar flujo de solicitud de adopción por etapas,KAN-15,10014,Historia,Backlog,KAN,MundiPets-PE4,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:00 PM,09/ago/26 2:00 PM,,,,0,"RF asociado: RF-18
Caso de uso enlazado: CU-04 — Publicar mascota en adopción",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i00033:,,,,"EV-11, EV-16",Must,,,,Por hacer,09/ago/26 2:00 PM,10001,KAN-2,E2 — Adopción y solicitudes
